food_id,food_name,description,cuisine,meal_type,diet_type,health_goal,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,serving_size,budget,ingredients,allergens,health_score,recommendation_tags
1,cream cheese,cream cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,51.0,0.9,0.8,5.0,0.0,0.5,0.016,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Fat, Low Carb, Heart Healthy"
2,neufchatel cheese,neufchatel cheese is a lunch food suitable for maintain weight.,Continental,Lunch,Veg,Maintain Weight,215.0,7.8,3.1,19.4,0.0,2.7,0.3,100 g,Medium,"Milk, Salt, Cultures",Milk,84,Low Carb
3,requeijao cremoso light catupiry,requeijao cremoso light catupiry is a lunch food suitable for weight loss.,Continental,Lunch,Vegan,Weight Loss,49.0,0.8,0.9,3.6,0.1,3.4,0.0,100 g,Medium,See recipe,None,96,"Low Fat, Low Carb, Heart Healthy"
4,ricotta cheese,ricotta cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,30.0,1.5,1.5,2.0,0.0,0.091,0.017,100 g,Medium,"Milk, Salt, Cultures",Milk,98,"Low Fat, Low Carb, Heart Healthy"
5,cream cheese low fat,cream cheese low fat is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,30.0,1.2,1.2,2.3,0.0,0.9,0.046,100 g,Medium,"Milk, Salt, Cultures",Milk,98,"Low Fat, Low Carb, Heart Healthy"
6,cream cheese fat free,cream cheese fat free is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,19.0,2.8,1.4,0.2,0.0,1.0,0.1,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"Low Fat, Low Carb, Heart Healthy"
7,gruyere cheese,gruyere cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,116.0,8.3,0.1,9.1,0.0,0.1,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,95,"Low Carb, Heart Healthy"
8,cheddar cheese,cheddar cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,113.0,6.4,0.9,9.3,0.0,0.1,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,94,"Low Carb, Heart Healthy"
9,parmesan cheese,parmesan cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,71.0,6.4,0.6,4.5,0.0,0.046,0.2,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"Low Fat, Low Carb, Heart Healthy"
10,romano cheese,romano cheese is a nutritious lunch option that can support weight loss when included as part of a balanced diet.,Continental,Lunch,Veg,Weight Loss,19.0,1.6,0.2,1.3,0.0,0.088,0.008,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"Low Fat, Low Carb, Heart Healthy"
11,parmesan cheese grated,parmesan cheese grated is a lunch food suitable for weight loss.,Continental,Lunch,Veg,Weight Loss,21.0,1.4,0.7,1.4,0.0,0.075,0.043,100 g,Medium,"Milk, Salt, Cultures",Milk,99,"Low Fat, Low Carb, Heart Healthy"
